Year,Mean Return (%),5th Percentile (%),95th Percentile (%)
1,6.375998830457146,-70.56542042701126,83.65961184127238
2,13.35283969276992,-87.66916655209776,154.3417512160011
3,19.33341361401809,-96.0284298371924,215.1092165611086
4,28.122262445776535,-99.14231430899278,292.46758456131374
5,36.55261510522675,-100.37669130242499,362.3364860177356
