,Liv-ex 100,wine_12m_ret,Predicted_12M_Return,Signal,Strategy_Return,Cum_Strategy,Cum_BuyHold
2014-11-30,238.58,-0.0769171245066934,,0,-0.0,1.0,3983.4099206349174
2014-12-31,238.5,-0.0725257631732451,,0,-0.0,1.0,3694.5100761089943
2015-01-31,243.06,-0.0461876545147745,,0,-0.0,1.0,3523.869321112319
2015-02-28,242.11,-0.041148514851485,,0,-0.0,1.0,3378.867332017837
2015-03-31,241.03,-0.0320857762428721,,0,-0.0,1.0,3270.4537508483622
2015-04-30,242.0,-0.0185740936004542,,0,-0.0,1.0,3209.7080367641483
2015-05-31,241.85,-0.005264673220088,,0,-0.0,1.0,3192.809972818695
2015-06-30,244.32,0.0351665113126005,,0,0.0,1.0,3305.089960846807
2015-07-31,241.43,0.0317080466646724,,0,0.0,1.0,3409.887907556278
2015-08-31,241.64,0.0229880191355149,,0,0.0,1.0,3488.274476025143
2015-09-30,241.65,0.0202229164907539,,0,0.0,1.0,3558.817559450628
2015-10-31,240.27,0.0100046239858759,,0,0.0,1.0,3594.422190967264
2015-11-30,236.71,-0.007838041747003,,0,-0.0,1.0,3566.248959778109
2015-12-31,238.26,-0.0010062893081761,,0,-0.0,1.0,3562.66028157959
2016-01-31,240.87,-0.0090101209577881,,0,-0.0,1.0,3530.5602815110506
2016-02-29,243.7,0.0065672628144231,,0,0.0,1.0,3553.746398761897
2016-03-31,250.12,0.0377131477409451,,0,0.0,1.0,3687.769361732256
2016-04-30,252.75,0.0444214876033057,,0,0.0,1.0,3851.5855627182964
2016-05-31,254.31,0.051519536903039,,0,0.0,1.0,4050.017467251974
2016-06-30,259.71,0.0629911591355598,,0,0.0,1.0,4305.13276203344
2016-07-31,269.07,0.1144845296773391,,0,0.0,1.0,4798.003861493342
2016-08-31,276.83,0.1456298626055288,,0,0.0,1.0,5496.736504623414
2016-09-30,281.23,0.1637906062487069,,0,0.0,1.0,6397.0503091050805
2016-10-31,291.36,0.2126357847421651,,0,0.0,1.0,7757.29212161675
2016-11-30,296.19,0.251277935025981,,0,0.0,1.0,9706.528467329917
2016-12-31,297.33,0.2479224376731301,,0,0.0,1.0,12112.994666293982
2017-01-31,301.08,0.2499688628720886,,0,0.0,1.0,15140.866169003164
2017-02-28,302.26,0.2402954452195322,,0,0.0,1.0,18779.147346093134
2017-03-31,304.3,0.2166160243083319,,0,0.0,1.0,22847.01158410419
2017-04-30,302.69,0.1975865479723046,,0,0.0,1.0,27361.273734490595
2017-05-31,303.94,0.1951555188549407,,0,0.0,1.0,32700.97730667717
2017-06-30,307.1,0.1824727580763161,,0,0.0,1.0,38668.014827617575
2017-07-31,307.22,0.1417846657003754,,0,0.0,1.0,44150.54638324849
2017-08-31,308.67,0.1150164360799048,,0,0.0,1.0,49228.584879230264
2017-09-30,308.03,0.0952956654695442,,0,0.0,1.0,53919.855635420456
2017-10-31,308.93,0.0603034047226798,,0,0.0,1.0,57171.40651239168
2017-11-30,312.96,0.0566190620885243,,0,0.0,1.0,60408.39792740505
2017-12-31,312.69,0.0516597719705378,,0,0.0,1.0,63529.0819894403
2018-01-31,312.47,0.037830476949648,,0,0.0,1.0,65932.41746127412
2018-02-28,312.16,0.0327532587838286,,0,0.0,1.0,68091.91899262666
2018-03-31,310.69,0.0209990141307918,,0,0.0,1.0,69521.78216174556
2018-04-30,311.66,0.0296342792956492,,0,0.0,1.0,71582.01007145802
2018-05-31,313.07,0.030038823451997,,0,0.0,1.0,73732.24943433361
2018-06-30,316.62,0.0309996743731681,,0,0.0,1.0,76017.92515759917
2018-07-31,314.47,0.0235987240414035,,0,0.0,1.0,77811.85119559341
2018-08-31,315.98,0.0236822496517317,,0,0.0,1.0,79654.61088147086
2018-09-30,316.25,0.0266857124306074,,0,0.0,1.0,81780.25092122573
2018-10-31,313.94,0.0162172660473245,,0,0.0,1.0,83106.5030078322
2018-11-30,313.37,0.0013100715746421,,0,0.0,1.0,83215.37847509068
2018-12-31,312.05,-0.0020467555726118,,0,-0.0,1.0,83045.05693546978
2019-01-31,311.98,-0.001568150542452,,0,-0.0,1.0,82914.82978438846
2019-02-28,309.76,-0.0076883649410559,,0,-0.0,1.0,82277.35031398055
2019-03-31,309.03,-0.0053429463452316,,0,-0.0,1.0,81837.74684582514
2019-04-30,308.53,-0.0100429955720979,,0,-0.0,1.0,81015.85071662205
